KEY,NOTES,ENGLISH,DANISH
HINT.BUILD_PIPES.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.","Disse er placeret under jorden, så sørg for dine bosættere har adgang til hvert felts sider."
HINT.BUILD_PIPES.3,,Furniture with a liquid input or output display a blue or green icon indicating if they are an input or output to the network.,"Møbler med en væske-indgang eller -udgang viser et blåt eller grønt ikon, der indikerer om der er en indgang eller udgang til netværket."
HINT.BUILD_POWER.1,,Use this view to link constructions that require power with mechanisms built from {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,Brug denne visning til at forbinde konstruktioner der kræver kraft fra mekanismer lavet af {{PRODUCT.STONE.GEAR.PLURAL}} og aksler.
HINT.BUILD_POWER.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.","Disse er placeret under jorden, så sørg for dine bosættere har adgang til hvert felts sider."
HINT.BUILD_POWER.3,,Constructions which require or produce power will display a red or green icon indicating if they are an input or output to the network.,"Konstruktioner, der kræver eller producerer kraft, viser et rødt eller grønt ikon, der indikerer om de har en indgang eller udgang til netværket."
HINT.BUILD_ROOFING.1,,"This view allows you to see which tiles are outside with no roof above them (light blue), and those which have had a roof built overhead (dark brown).","Denne visning tillader dig at se, hvilke felter der er udenfor uden noget tag over (lyseblå) og de felter, der har et tag over sig (mørkebrun)."
HINT.BUILD_ROOFING.2,,"You can use the {{GUI.ROOFING.ADD}} and {{GUI.CANCEL_LABEL}} options to queue up roofing to be constructed, and {{GUI.DECONSTRUCT_LABEL}} to remove any existing roof tiles.","Du kan bruge {{GUI.ROOFING.ADD}} og {{GUI.CANCEL_LABEL}} indstillingerne til at sætte tagkonstruktion i kø, og {{GUI.DECONSTRUCT_LABEL}} til at fjerne eksisterende tagfelter."
HINT.BUILD_ROOFING.3,,A roof can only be constructed within 3 tiles of a wall or {{FURNITURE.PILLAR}}.,Et tag kan kun konstrueres indenfor 3 felter af en mur eller {{FURNITURE.PILLAR}}.
HINT.BUTTON.BEGIN_TUTORIAL,,Begin Tutorial,Påbegynd træning
HINT.BUTTON.DISABLE_ALL,,Disable all hints,Deaktiver alle tips
HINT.BUTTON.DISMISS,,Dismiss,Afvis
HINT.BUTTON.HINTS_ONLY,,Hints only,Kun tips
HINT.BUTTON.NEXT,,Next,Næste
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.","Du kan bruge denne menu til at ændre prioriteten af jobs og opgaver, så jobs med højere prioritet vil blive tildelt før jobs med lavere prioritet."
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.","Imens prioritetsmenuen er åben, bliver prioritetsikonerne vist i spilverdenen, der hvor der er et job eller en opgave, der skal udføres, eller hvor et rum eller et møbel kan give jobs i fremtiden."
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,Din bosættelse har ikke længere en {{TOOL.AXE}} tilgængelig. Du kan ikke længere fælde træer.
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.","Der kan laves flere økser ved {{FURNITURE.FORGE}}. Hvis du ikke har en fungerende {{FURNITURE.FORGE}}, skal du måske fjerne en {{FURNITURE.WOODCUTTERS_BENCH}}."
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,Din bosættelse har ikke længere en {{TOOL.CHISEL}} tilgængelig. Denne er krævet til konstruktion af stenmøbler.
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.","Flere mejsler kan laves ved {{FURNITURE.FORGE}}. Hvis du ikke har en fungerende {{FURNITURE.FORGE}}, skal du måske fjerne en {{FURNITURE.STONEMASON_BENCH}}."
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,Din bosættelse har ikke længere en {{TOOL.PLANE}} tilgængelig. Denne er krævet til konstruktion af træmøbler.
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,Flere høvle kan laves ved {{FURNITURE.CARPENTRY_WORKBENCH}} af en {{RESOURCE.PLANKS.NOUN}}.
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,"Din bosættelse har ikke længere en {{TOOL.SAW}} tilgængelig. Denne er krævet, før du kan bygge en {{FURNITURE.WOODCUTTERS_BENCH}} eller en {{FURNITURE.CARPENTRY_WORKBENCH}}."
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.","Flere save kan laves ved {{FURNITURE.FORGE}}. Hvis du ikke har en fungerende {{FURNITURE.FORGE}}, skal du måske fjerne en {{FURNITURE.WOODCUTTERS_BENCH}} eller en {{FURNITURE.CARPENTRY_WORKBENCH}}."
HINT.WEAPON_SELECTION.1,,Use this view to select a type of weapon that the settler will keep in their inventory in case of combat.,"Brug denne visning til at vælge en type våben, som din bosætter vil beholde i sin beholdning i tilfælde af kamp."
HINT.WEAPON_SELECTION.2,,It is strongly recommended you assign a ranged weapon such as a {{WEAPON.BOW}} or {{WEAPON.CROSSBOW}} to those settlers assigned as a {{PROFESSION.HUNTER}}.,Det er kraftigt anbefalet at du tildeler et fjernkampsvåben såsom en {{WEAPON.BOW}} eller en {{WEAPON.CROSSBOW}} til de bosættere tildelt job som {{PROFESSION.HUNTER}}.
HINT.WEAPON_SELECTION.3,,Weapons which you do not have available are displayed in red.,"Våben, du ikke har tilgængelige, bliver vist med rød."
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.","Klik på ""Træning"" for at blive ledt igennem det basale, ""Kun tips"" for at springe over vejledningen men blive vejledt mens du spiller, eller ""Deaktiver alle tips"" for ikke at vise disse beskeder."
HINT.WELCOME.PRE_SPAWN,,"Start the game by selecting a location on the map with open space near the river, and clicking the '{{GUI.EMBARK.START}}' button.",Start spillet ved at vælge et sted på kortet med åbent område nær en flod og klik på '{{GUI.EMBARK.START}}'-knappen.

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{skillLevelDescription.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{skillLevelDescription.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Dej
INGREDIENT.FLOUR,,Flour,Mel
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Brød
INGREDIENT.LOAF.PLURAL,,Loaves,Brød
INGREDIENT.MALT.SACK.NOUN,,Malt,Malt
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,"Dette skal først males, før det kan bruges til brygning."
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,Malet malt
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,Dette bliver kombineret med vand i et {{FURNITURE.MASH_TUN}} for at lave {{LIQUID.WORT}}.
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Svampespore
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Svampesporer
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Også kendt som mycelium, kan dette betragtes som frø, med hvilke der kan dyrkes svampe i en {{ROOMS.MUSHROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Frø
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Frø
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Frø af den rigtige type er påkrævet til plantning i en {{ROOMS.FARM}}. De skal også være tilgængelige i et {{STOCKPILE.GRANARY}} lager.
INGREDIENT.VEGETABLE.CRATE.NOUN,,Vegetable (crate),Grøntsag (kasse)
INGREDIENT.VEGETABLE.CRATE.PLURAL,,Vegetables (crate),Grøntsager (kasse)
INGREDIENT.VEGETABLE.SACK.NOUN,,Vegetable (sack),Grøntsag (sæk)
INGREDIENT.VEGETABLE.SACK.PLURAL,,Vegetables (sack),Grøntsager (sæk)

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Beholdning:

ITEM.AVAILABILITY.DESCRIPTION,E.g. “2 potatoes”,{{quantity}} {{materialType.adjective}} {{itemType.noun_or_plural}} available,{{quantity}} {{materialType.adjective}} {{itemType.noun_or_plural}} tilgængelig(e)
ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}} {{quality.adjective}} {{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}} {{quality.adjective}} {{materialType.adjective}} {{itemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}} {{materialType.noun_or_plural}},{{quantity_if_multiple}} {{materialType.noun_or_plural}}
ITEM.NONE_SELECTED,,None selected,Intet valgt
ITEM.QUALITY.PREFIX.AWFUL.ADJECTIVE,,Awful,Forfærdelig
ITEM.QUALITY.PREFIX.AWFUL.TOOLTIP,,"This item is terribly made, difficult to use, and would not be worth very much","Denne ting er forfærdeligt lavet, svær at bruge, og vil ikke være noget værd"
ITEM.QUALITY.PREFIX.MASTERWORK.ADJECTIVE,,Masterwork,Mesterværk
ITEM.QUALITY.PREFIX.MASTERWORK.TOOLTIP,,"This item has clearly been made by a master craftsman, it is ideal in every way","Denne ting er tydeligvis blevet lavet af en mester i sit fag, den er idéel på alle måder"
ITEM.QUALITY.PREFIX.POOR.ADJECTIVE,,Poor,Dårlig
ITEM.QUALITY.PREFIX.POOR.TOOLTIP,,This item is poorly made and will slightly impede anyone using it,"Denne ting er dårligt lavet og vil hindre enhver, der bruger den, en smule"
ITEM.QUALITY.PREFIX.SUPERIOR.ADJECTIVE,,Superior,Overlegen
ITEM.QUALITY.PREFIX.SUPERIOR.TOOLTIP,,"This item has been crafted with great skill, making it more valuable and easier to use","Denne ting er blevet lavet med stor dygtighed, hvilket gør den mere værdifuld og nemmere at bruge"

ITEM_GROUP.FUEL.PLURAL,,Fuel,Brændstof
ITEM_GROUP.PRODUCT.PLURAL,,Products,Produkter
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Ressourcer
ITEM_GROUP.TOOL.PLURAL,,Tools,Værktøjer

LANGUAGE.LABEL,,Language,Sprog

LIQUID.BEER.NOUN,,Beer,Øl
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.","Det er elsket af dværge og vil give en substantiel bonus i et stykke tid. Det eneste problem er, at de med tiden vil kræve det, for at komme igennem arbejdsdagen."
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,Siet urt
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,"Dette er det sidste trin for ugæret øl, før det bliver hældt i en {{FERMENTATION_TANK}}, hvor det bliver til drikkeklar øl."
LIQUID.WATER.NOUN,,Water,Vand
LIQUID.WORT.NOUN,,Wort,Urt
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",Dette er ugæret øl. For smag kræver det tilføjelse af {{VEGETABLE.HOPS}} i en {{FURNITURE.BREW_KETTLE}} før det kan gæres.

MADNESS.BROKEN.ADJECTIVE,,Broken,Brækket
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ","Denne bosætter var så ulykkelig, at vedkommende er blevet skubbet forbi bristepunktet og ikke længere vil arbejde eller endog spise!"

MATERIAL,Used for specifying which material something is made out of,Material,Materiale

MATERIAL_TYPE,,Type,Type
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Enhver
MATERIAL_TYPE.CLOTH.ADJECTIVE,," ",Stof
MATERIAL_TYPE.CLOTH.NOUN,," ",Stof
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,Jordens
MATERIAL_TYPE.EARTH.NOUN,,Earth,Jorden
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Mad
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Ædelsten
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,Metallisk
MATERIAL_TYPE.METAL.NOUN,,Metal,Metal
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Malm
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Andre
MATERIAL_TYPE.ROPE.ADJECTIVE,," ",Reb
MATERIAL_TYPE.ROPE.NOUN,," ",Reb
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Frø
MATERIAL_TYPE.SKIN.ADJECTIVE,," ",Skind
MATERIAL_TYPE.SKIN.NOUN,," ",Skind
MATERIAL_TYPE.STONE.ADJECTIVE,,,Sten
MATERIAL_TYPE.STONE.NOUN,,Stone,Sten
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Grøntsag
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriol af
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,Træ
MATERIAL_TYPE.WOOD.NOUN,,Wood,Træ

MEAT.BOAR_MEAT,,Boar,Vildsvin
MEAT.CARP_MEAT.NOUN,,Carp,Karpe
MEAT.CARP_MEAT.PLURAL,,Carp,Karper
MEAT.DEER_MEAT,,Deer,Dådyr
MEAT.DWARF_FLESH,,Dwarf flesh,Dværgkød
MEAT.ELEPHANT_MEAT,,Elephant,Elefant
MEAT.FOX_MEAT,,Fox,Ræv
MEAT.HORSE_MEAT,,Horse,
MEAT.PERCH_MEAT.NOUN,,Perch,Aborre
MEAT.PERCH_MEAT.PLURAL,,Perch,Aborrer
MEAT.PIKE_MEAT.NOUN,,Pike,Gedde
MEAT.PIKE_MEAT.PLURAL,,Pike,Gedder

MECHANISM.FURNITURE.CONSUMING_POWER,,Working - consuming {{power}} power,Er i gang - bruger {{power}} kraft
MECHANISM.FURNITURE.CRAFTING_STATION_REQUIRES_POWER,,Working very slowly - not enough power,Er langsomt i gang - ikke nok kraft
MECHANISM.FURNITURE.CRAFTING_STATION_REQUIRES_POWER.TOOLTIP,,This furniture requires an underground power connection to a power-producer such as a {{FURNITURE.WINDMILL}} or {{FURNITURE.WATERWHEEL}}.,Dette møbel kræver en kraftforbindelse underneden til en kraftproducent såsom en {{FURNITURE.WINDMILL}} eller et {{FURNITURE.WATERWHEEL}}.
MECHANISM.FURNITURE.PRODUCING_POWER,,Working - producing {{power}} power,Er i gang - producerer {{power}} power
MECHANISM.FURNITURE.REQUIRES_OUTSIDE_PLACEMENT,,This must be outside to function correctly,"Denne skal være udenfor, før den kan fungere ordentligt"
MECHANISM.FURNITURE.REQUIRES_POWER,,Disabled - not enough power,Slukket - ikke nok kraft
MECHANISM.FURNITURE.REQUIRES_POWER.TOOLTIP,,This furniture requires an underground power connection to a power-producer such as a {{FURNITURE.WINDMILL}} or {{FURNITURE.WATERWHEEL}}.,Dette møbel kræver en kraftforbindelse underneden til en kraftproducent såsom en {{FURNITURE.WINDMILL}} eller et {{FURNITURE.WATERWHEEL}}.
MECHANISM.FURNITURE.REQUIRES_POWER_GRID,,Disabled - connect to an underground power connection,Slukket - forbind til en kraftforbindelse underneden
MECHANISM.FURNITURE.REQUIRES_POWER_GRID.TOOLTIP,,This furniture requires an underground power connection - see the {{GUI.BUILD.POWER}} option in the {{GUI.BUILD_LABEL}} menu.,Dette møbel kræver en kraftforbindelse underneden - se {{GUI.BUILD.POWER}}-indstillingen i {{GUI.BUILD_LABEL}}-menuen.
MECHANISM.STONE.GEAR.NOUN,,Gear assembly,Tandhjulssamling
MECHANISM.STONE.GEAR.TOOLTIP,,This contraption links up mechanical power in all 4 directions.,Denne himstregims forbinder mekanisk kraft i alle 4 retninger.
MECHANISM.WOODEN.SHAFT.NOUN,,Shaft,Aksel
MECHANISM.WOODEN.SHAFT.TOOLTIP,,A wooden shaft links mechanical power in 2 directions.,En træaksel der forbinder mekanisk kraft i 2 retninger.

MENU.CONTINUE_GAME,,Continue,Fortsæt spil
MENU.CREDITS,,Credits,Credits
MENU.JOIN_DISCORD,,Join Discord,Slut dig til Discord
MENU.LINK_TWITCH_ACCOUNT,,Link Twitch,Forbind til Twitch
MENU.LOAD_GAME,,Load,Indlæs
MENU.MODS,,Mods,Modifikationer
MENU.NEW_GAME,,New Game,Start nyt spil
MENU.OPTIONS,,Options,Valgmuligheder
MENU.QUIT,,Quit,Forlad
MENU.SAVE_AND_QUIT,,Save & Quit,Gem & Forlad
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Slå fuldskærm til/fra

METAL.BRONZE.ADJECTIVE,,Bronze,Bronze
METAL.BRONZE.NOUN,,Bronze,Bronze
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented),Bronze er en legering af kobber og tin. Det er hårdere og meget mere holdbart end kobber alene. (Legeringer er endnu ikke blevet implementeret)
METAL.COPPER.ADJECTIVE,,Copper,Kobber
METAL.COPPER.NOUN,,Copper,Kobber
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Ud over at forekomme naturligt som {{ORE.NATIVE_COPPER.NOUN}}, er det også let at udvinde fra {{ORE.MALACHITE.NOUN}}malm. Kobber har mange anvendelsesmuligheder, især i møntværker, selv om det ikke er hårdt nok til at skabe effektive våben."
METAL.COPPER_PATINA.ADJECTIVE,,Copper,Kobber
METAL.COPPER_PATINA.NOUN,,Copper (Patina),Kobber (Patina)
METAL.COPPER_PATINA.TOOLTIP,,{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}}
METAL.GOLD.ADJECTIVE,,Golden,Gyldne
METAL.GOLD.NOUN,,Gold,Guld
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","Kongen af metaller. Selvom det ikke er det sjældneste eller mest værdifulde, er guld det mest eftertragtede metal for de fleste racer - især dværge."
METAL.IRON.ADJECTIVE,,Iron,Jern
METAL.IRON.NOUN,,Iron,Jern
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,"Det er et fattigt militær, som ikke har adgang til jern. Dværgmetalsmede kender hemmelighederne til at forvandle dette til {{METAL.STEEL.NOUN}}."
METAL.PLATINUM.ADJECTIVE,,Platinum,Platin
METAL.PLATINUM.NOUN,,Platinum,Platin
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,"Et sølvhvidt metal, der er meget modstandsdygtigt over for korrosion. Platin er sjældnere og derfor mere værdifuldt end {{METAL.GOLD.NOUN}}."
METAL.RUSTED_IRON.ADJECTIVE,,Rusted iron,Rusten jern
METAL.RUSTED_IRON.NOUN,,Rust,Rust
METAL.RUSTED_IRON.TOOLTIP,,Iron turns to rust when exposed to rain for a long period. Eventually this will decay completely!,"Jern bliver til rust, når det bliver udsat for regn over en lang periode. Med tiden vil det helt henfalde."
METAL.SILVER.ADJECTIVE,,Silver,Sølv
METAL.SILVER.NOUN,,Silver,Sølv
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",Som {{METAL.GOLD.NOUN}} bruges sølv ofte til møntværker og som solide guldbarrer til velstandshandel.
METAL.STEEL.ADJECTIVE,,Steel,Stål
METAL.STEEL.NOUN,,Steel,Stål
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Langt stærkere end {{METAL.IRON.NOUN}}, giver overlegne våben og værktøjer, kun dværgene kender hemmeligheden bag skabelsen af stål."
METAL.TIN.ADJECTIVE,,Tin,Tin
METAL.TIN.NOUN,,Tin,Tin
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented),Tin kan udvindes af {{ORE.CASSITERITE.NOUN}} og legeres med {{METAL.COPPER.NOUN}} for at producere {{METAL.BRONZE.NOUN}}. (Legeringer er endnu ikke blevet implementeret)

MILITARY.FORMATION.COLUMN,,Column - Narrow,Kolonne - Smal
MILITARY.FORMATION.COLUMN_DOUBLE,,Column - Wide,Kolonne - Bred
MILITARY.FORMATION.COLUMN_SINGLE,,Column,Kolonne
MILITARY.FORMATION.GRID,,Grid - Narrow,Gitter - Smal
MILITARY.FORMATION.GRID_DOUBLE,,Grid - Wide,Gitter - Bred
MILITARY.FORMATION.GRID_SINGLE,,Grid,Gitter
MILITARY.FORMATION.LINE,,Line - Narrow,Linje - Smal
MILITARY.FORMATION.LINE_DOUBLE,,Line - Wide,Linje - Bred
MILITARY.FORMATION.LINE_SINGLE,,Line,Linje
MILITARY.SQUAD.DEFAULT_NAME,,Squad,Trup
MILITARY.SQUAD.ORDER_DESCRIPTION.COMBAT,,In Combat,I kamp
MILITARY.SQUAD.ORDER_DESCRIPTION.GUARDING,,Guarding,Bevogter
MILITARY.SQUAD.ORDER_DESCRIPTION.OFF_DUTY,,Off Duty,Har fri
MILITARY.SQUAD.ORDER_DESCRIPTION.RETREATING,,Retreating,Trækker sig tilbage
MILITARY.SQUAD.ORDER_DESCRIPTION.TRAINING,,Training,Træner
MILITARY.SQUAD.SHIFT.DAYTIME,Used to assign a squad to active duty during the daytime,Day shift,Daghold
MILITARY.SQUAD.SHIFT.NIGHTTIME,Used to assign a squad to active duty during the nighttime,Night shift,Nattehold

MODS.APPLY,,Apply,Ansøg
MODS.BUTTON.BROWSE,,Browse Mods,Se efter modifikationer
MODS.BUTTON.REFRESH,,Refresh,Genopfrisk
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Ja
MODS.COMPATIBILITY.INCOMPATIBLE,,No,Nej
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Ukendt
MODS.EMAIL_LOGIN.CHECK_EMAIL,,"Check your email for an authentication code. If you do not receive an email, please check your spam folder.","Kig i din mail efter autorisationskoden. Hvis du ikke har modtaget en mail, kig venligst i mappen til uønsket post."
MODS.EMAIL_LOGIN.CODE_LABEL,,6 Digit Code:,6-cifrede kode:
MODS.EMAIL_LOGIN.EMAIL,,Enter your email address to receive an authentication code.,Skriv din email-adresse for at modtage en autorisationskode.
MODS.EMAIL_LOGIN.EMAIL_LABEL,,Email:,Email:
MODS.EMAIL_LOGIN.ERROR,,"An error occurred while communicating to the server. Either the server is down, the email address is invalid, or you are not connected to the internet.","Der er opstået en fejl under kommunikationen med serveren. Enten har serveren mistet forbindelsen, din email-adresse er forkert, eller også er du ikke forbundet til internettet."
MODS.EMAIL_LOGIN.INFO,,"To download and update mods, you must connect to the Mod.io platform.","For at hente og opdatere modifikationer, skal du være forbundet til Mod.io-platformen."
MODS.EMAIL_LOGIN.REQUEST_CODE,,Request Code,Anmod om kode
MODS.EMAIL_LOGIN.SUBMIT_CODE,,Submit,Indsend
MODS.INCOMPATIBLE_VERSION_DESCRIPTION,,The mod's game version ({{modGameVersion}}) is incompatible with the current game version ({{gameVersion}}),Denne modifikations spilversion ({{modGameVersion}}) er inkompatibel med spillets nuværende version ({{gameVersion}})
MODS.MISSING_HOMEPAGE_URL,,The author(s) of this mod have not included a website to visit,Ophavsmanden af denne modifikation har ikke inkluderet en hjemmeside
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Denne gemte fil blev sidst brugt mens følgende modifikationer var aktive. Disse modifikationer mangler nu eller er deaktiveret, så det gemte spil indlæses muligvis ikke korrekt."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","Denne gemte fil kunne ikke indlæses, da den enten er uforenelig med denne version af spillet, eller fordi nogle modifikationer er blevet deaktiveret eller fjernet, siden dette spil sidst blev indlæst. Følgende modifikationer blev forventet, men er ikke længere aktive:"
MODS.SYNC_IN_PROGRESS,,Please wait while the mod list is being updated. This may take a few minutes.,Vent venligst imens listen over modifikationer bliver opdateret.
MODS.TABLE.COMPATIBILITY,,Compatible,Kompatibel
MODS.TABLE.ENABLED,,Enable,Slå til
MODS.TABLE.NAME,,Name,Navn
MODS.TABLE.ORDERING,,Re-order,Genbestil
MODS.TABLE.VERSION,,Version,Version

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Drik
NEEDS.FOOD,,Food,Mad
NEEDS.SLEEP,,Sleep,Sove

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,Dine minearbejdere har opdaget et nyt område!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Udforskning
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, er død på grund af {{reason}}."
NOTIFICATION.DEATH.KILLED_BY_DESCRIPTION,,Killed by {{killer}},Slået ihjel af {{killer}}
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Død på grund af {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler Death,Bosætter død
NOTIFICATION.FIRE_STARTED.DESCRIPTION,,A fire has broken out in your settlement!,Der er udbrudt brand i din bosættelse!
NOTIFICATION.FIRE_STARTED.TITLE,,Fire!,Brand!
NOTIFICATION.FISH_EXHAUSTED.DESCRIPTION,,You have over-fished the river to such an extent that there are no more fish left. You will have to wait until the spawning season next spring for the fish to return.,"Du har overfisket floden til sådan en grænse, at der ikke er flere fisk tilbage. Fiskene vender ikke tilbage før næste gydesæson næste forår."
