KEY,NOTES,ENGLISH,JAPANESE
ITEM.QUALITY.PREFIX.AWFUL.TOOLTIP,,"This item is terribly made, difficult to use, and would not be worth very much",
ITEM.QUALITY.PREFIX.MASTERWORK.ADJECTIVE,,Masterwork,
ITEM.QUALITY.PREFIX.MASTERWORK.TOOLTIP,,"This item has clearly been made by a master craftsman, it is ideal in every way",
ITEM.QUALITY.PREFIX.POOR.ADJECTIVE,,Poor,
ITEM.QUALITY.PREFIX.POOR.TOOLTIP,,This item is poorly made and will slightly impede anyone using it,
ITEM.QUALITY.PREFIX.SUPERIOR.ADJECTIVE,,Superior,
ITEM.QUALITY.PREFIX.SUPERIOR.TOOLTIP,,"This item has been crafted with great skill, making it more valuable and easier to use",

ITEM_GROUP.FUEL.PLURAL,,Fuel,燃料
ITEM_GROUP.PRODUCT.PLURAL,,Products,工作物
ITEM_GROUP.RESOURCE.PLURAL,,Resources,資源
ITEM_GROUP.TOOL.PLURAL,,Tools,道具

LANGUAGE.LABEL,,Language,言語

LIQUID.BEER.NOUN,,Beer,ビール
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",ドワーフがこよなく愛する飲み物です。しばらくの間、かなりの幸福度ボーナスを得ることができます。ひとつ問題があるとすれば、彼らは好むというよりは、労働の日々を乗り切るためにそれらを必要としていると言った方が正しいことです。
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,ホップ入り麦汁
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,発酵前の全ての工程を終えた麦汁です。{{FERMENTATION_TANK}}に入れることで、晴れてビールとして飲むことができます。
LIQUID.WATER.NOUN,,Water,水
LIQUID.WORT.NOUN,,Wort,麦汁
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",これは未発酵のビールとも呼ぶべきもので、発酵させる前に{{VEGETABLE.HOPS}}を{{FURNITURE.BREW_KETTLE}}で加えて香り付けする必要があります。

MADNESS.BROKEN.ADJECTIVE,,Broken,崩壊
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",この入植者は幸福度が下がりすぎて限界を迎えてしまい、労働も食事もできなくなっています！

MATERIAL,Used for specifying which material something is made out of,Material,素材

MATERIAL_TYPE,,Type,種別
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,全て
MATERIAL_TYPE.CLOTH.ADJECTIVE,," ",
MATERIAL_TYPE.CLOTH.NOUN,," ",
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,土の
MATERIAL_TYPE.EARTH.NOUN,,Earth,土
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,食料
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,宝石
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,金属の
MATERIAL_TYPE.METAL.NOUN,,Metal,金属
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,鉱石
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,その他
MATERIAL_TYPE.ROPE.ADJECTIVE,," ",
MATERIAL_TYPE.ROPE.NOUN,," ",
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,種
MATERIAL_TYPE.SKIN.ADJECTIVE,," ",
MATERIAL_TYPE.SKIN.NOUN,," ",
MATERIAL_TYPE.STONE.ADJECTIVE,,,石の
MATERIAL_TYPE.STONE.NOUN,,Stone,石
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,野菜
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,硫酸塩の
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,硫酸塩
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,木の
MATERIAL_TYPE.WOOD.NOUN,,Wood,木材

MEAT.BOAR_MEAT,,Boar,イノシシ
MEAT.CARP_MEAT.NOUN,,Carp,コイ
MEAT.CARP_MEAT.PLURAL,,Carp,コイ
MEAT.DEER_MEAT,,Deer,シカ
MEAT.DWARF_FLESH,,Dwarf flesh,ドワーフの死体
MEAT.ELEPHANT_MEAT,,Elephant,ゾウ
MEAT.FOX_MEAT,,Fox,キツネ
MEAT.PERCH_MEAT.NOUN,,Perch,パーチ
MEAT.PERCH_MEAT.PLURAL,,Perch,パーチ
MEAT.PIKE_MEAT.NOUN,,Pike,マス
MEAT.PIKE_MEAT.PLURAL,,Pike,マス

MECHANISM.FURNITURE.CONSUMING_POWER,,Working - consuming {{power}} power,動作中 - 動力を{{power}}消費
MECHANISM.FURNITURE.CRAFTING_STATION_REQUIRES_POWER,,Working very slowly - not enough power,低速で動作中 - 動力が十分ではありません
MECHANISM.FURNITURE.CRAFTING_STATION_REQUIRES_POWER.TOOLTIP,,This furniture requires an underground power connection to a power-producer such as a {{FURNITURE.WINDMILL}} or {{FURNITURE.WATERWHEEL}}.,この建築物は{{FURNITURE.WINDMILL}}や{{FURNITURE.WATERWHEEL}}などの動力源と地下で接続する必要があります。
MECHANISM.FURNITURE.PRODUCING_POWER,,Working - producing {{power}} power,動作中 - 動力を{{power}}生産
MECHANISM.FURNITURE.REQUIRES_OUTSIDE_PLACEMENT,,This must be outside to function correctly,屋外に置かれなければ機能しません
MECHANISM.FURNITURE.REQUIRES_POWER,,Disabled - not enough power,動作停止中 - 動力が不足しています
MECHANISM.FURNITURE.REQUIRES_POWER.TOOLTIP,,This furniture requires an underground power connection to a power-producer such as a {{FURNITURE.WINDMILL}} or {{FURNITURE.WATERWHEEL}}.,この建築物は{{FURNITURE.WINDMILL}}や{{FURNITURE.WATERWHEEL}}などの動力源と地下で接続する必要があります。
MECHANISM.FURNITURE.REQUIRES_POWER_GRID,,Disabled - connect to an underground power connection,動作停止中 - 接続されていません
MECHANISM.FURNITURE.REQUIRES_POWER_GRID.TOOLTIP,,This furniture requires an underground power connection - see the {{GUI.BUILD.POWER}} option in the {{GUI.BUILD_LABEL}} menu.,この建築物は動力源と地下で接続される必要があります。{{GUI.BUILD_LABEL}}メニューの{{GUI.BUILD.POWER}}オプションを参照してください。
MECHANISM.STONE.GEAR.NOUN,,Gear assembly,ギア
MECHANISM.STONE.GEAR.TOOLTIP,,This contraption links up mechanical power in all 4 directions.,この仕掛けは動力を四方向に伝えることができます。
MECHANISM.WOODEN.SHAFT.NOUN,,Shaft,シャフト
MECHANISM.WOODEN.SHAFT.TOOLTIP,,A wooden shaft links mechanical power in 2 directions.,木のシャフトは動力を一方向から他方向に伝えます。

MENU.CONTINUE_GAME,,Continue,コンティニュー
MENU.CREDITS,,Credits,
MENU.JOIN_DISCORD,,Join Discord,
MENU.LINK_TWITCH_ACCOUNT,,Link Twitch,
MENU.LOAD_GAME,,Load,ロード
MENU.MODS,,Mods,Mods
MENU.NEW_GAME,,New Game,ニューゲーム
MENU.OPTIONS,,Options,オプション
MENU.QUIT,,Quit,終了
MENU.SAVE_AND_QUIT,,Save & Quit,
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,フルスクリーンを切り替える

METAL.BRONZE.ADJECTIVE,,Bronze,青銅の
METAL.BRONZE.NOUN,,Bronze,青銅
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented),青銅は銅と錫の合金です。銅よりも硬く、耐久性に優れています(今のところ、合金は未実装です）
METAL.COPPER.ADJECTIVE,,Copper,銅の
METAL.COPPER.NOUN,,Copper,銅
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.",銅は{{ORE.NATIVE_COPPER.NOUN}}として自然に存在し、あるいは{{ORE.MALACHITE.NOUN}}鉱石から製錬することもできます。銅には多くの用途があり、特に貨幣の材料として使われていますが、武器の材料としては強度が足りません。
METAL.COPPER_PATINA.ADJECTIVE,,Copper,銅の
METAL.COPPER_PATINA.NOUN,,Copper (Patina),銅
METAL.COPPER_PATINA.TOOLTIP,,{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}}
METAL.GOLD.ADJECTIVE,,Golden,金の
METAL.GOLD.NOUN,,Gold,金
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.",あらゆる金属の王です。最も希少で価値があるわけではありませんが、金はほとんどの種族が最も欲する金属です。ドワーフは特に。
METAL.IRON.ADJECTIVE,,Iron,鉄の
METAL.IRON.NOUN,,Iron,鉄
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,鉄の武器さえ用意できないならまともな戦士とは呼べません。ドワーフの金属職人は鉄を{{METAL.STEEL.NOUN}}に加工する秘密を知っています。
METAL.PLATINUM.ADJECTIVE,,Platinum,プラチナの
METAL.PLATINUM.NOUN,,Platinum,プラチナ
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,白銀色の腐食にとても強い金属です。プラチナは{{METAL.GOLD.NOUN}}よりも希少性が高く、高い価値を持ちます。
METAL.RUSTED_IRON.ADJECTIVE,,Rusted iron,錆びた鉄の
METAL.RUSTED_IRON.NOUN,,Rust,錆びた鉄
METAL.RUSTED_IRON.TOOLTIP,,Iron turns to rust when exposed to rain for a long period. Eventually this will decay completely!,鉄は長い間雨にさらされると錆び、最終的には完全に使用不能になります。
METAL.SILVER.ADJECTIVE,,Silver,銀の
METAL.SILVER.NOUN,,Silver,銀
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",銀は{{METAL.GOLD.NOUN}}と同じく、貨幣や取引用のインゴットとしてよく使われます。
METAL.STEEL.ADJECTIVE,,Steel,鋼の
METAL.STEEL.NOUN,,Steel,鋼
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.",{{METAL.IRON.NOUN}}よりもはるかに強く、優れた武器や道具を作ることができます。鋼を作る秘密を知っているのはドワーフだけです。
METAL.TIN.ADJECTIVE,,Tin,錫の
METAL.TIN.NOUN,,Tin,錫
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented),錫は{{ORE.CASSITERITE.NOUN}}から抽出でき、{{METAL.COPPER.NOUN}}との合金である{{METAL.BRONZE.NOUN}}を作ることができます(今のところ、合金は未実装です）

MILITARY.FORMATION.COLUMN,,Column - Narrow,
MILITARY.FORMATION.COLUMN_DOUBLE,,Column - Wide,
MILITARY.FORMATION.COLUMN_SINGLE,,Column,
MILITARY.FORMATION.GRID,,Grid - Narrow,
MILITARY.FORMATION.GRID_DOUBLE,,Grid - Wide,
MILITARY.FORMATION.GRID_SINGLE,,Grid,
MILITARY.FORMATION.LINE,,Line - Narrow,
MILITARY.FORMATION.LINE_DOUBLE,,Line - Wide,
MILITARY.FORMATION.LINE_SINGLE,,Line,
MILITARY.SQUAD.DEFAULT_NAME,,Squad,
MILITARY.SQUAD.ORDER_DESCRIPTION.COMBAT,,In Combat,
MILITARY.SQUAD.ORDER_DESCRIPTION.GUARDING,,Guarding,
MILITARY.SQUAD.ORDER_DESCRIPTION.OFF_DUTY,,Off Duty,
MILITARY.SQUAD.ORDER_DESCRIPTION.RETREATING,,Retreating,
MILITARY.SQUAD.ORDER_DESCRIPTION.TRAINING,,Training,
MILITARY.SQUAD.SHIFT.DAYTIME,Used to assign a squad to active duty during the daytime,Day shift,
MILITARY.SQUAD.SHIFT.NIGHTTIME,Used to assign a squad to active duty during the nighttime,Night shift,

MODS.APPLY,,Apply,適用
MODS.BUTTON.BROWSE,,Browse Mods,
MODS.BUTTON.REFRESH,,Refresh,
MODS.COMPATIBILITY.COMPATIBLE,,Yes,あり
MODS.COMPATIBILITY.INCOMPATIBLE,,No,なし
MODS.COMPATIBILITY.UNKNOWN,,Unknown,不明
MODS.EMAIL_LOGIN.CHECK_EMAIL,,"Check your email for an authentication code. If you do not receive an email, please check your spam folder.",
MODS.EMAIL_LOGIN.CODE_LABEL,,6 Digit Code:,
MODS.EMAIL_LOGIN.EMAIL,,Enter your email address to receive an authentication code.,
MODS.EMAIL_LOGIN.EMAIL_LABEL,,Email:,
MODS.EMAIL_LOGIN.ERROR,,"An error occurred while communicating to the server. Either the server is down, the email address is invalid, or you are not connected to the internet.",
MODS.EMAIL_LOGIN.INFO,,"To download and update mods, you must connect to the Mod.io platform.",
MODS.EMAIL_LOGIN.REQUEST_CODE,,Request Code,
MODS.EMAIL_LOGIN.SUBMIT_CODE,,Submit,
MODS.INCOMPATIBLE_VERSION_DESCRIPTION,,The mod's game version ({{modGameVersion}}) is incompatible with the current game version ({{gameVersion}}),
MODS.MISSING_HOMEPAGE_URL,,The author(s) of this mod have not included a website to visit,
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,このセーブファイルが使用していたModが破損しているか無効になっているため、 正しくロードできない可能性があります。
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:",このバージョンと互換性が無いか、 Modが破損又は削除されたため、 セーブファイルがロードできませんでした。 以下のModが有効ではありません:
MODS.SYNC_IN_PROGRESS,,Please wait while the mod list is being updated. This may take a few minutes.,
MODS.TABLE.COMPATIBILITY,,Compatible,
MODS.TABLE.ENABLED,,Enable,
MODS.TABLE.NAME,,Name,
MODS.TABLE.ORDERING,,Re-order,ロード順
MODS.TABLE.VERSION,,Version,

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,水分
NEEDS.FOOD,,Food,食事
NEEDS.SLEEP,,Sleep,睡眠

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,鉱夫が新しいエリアを発見しました！
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,新発見
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.",{{character}}は{{reason}}により死亡しました。
NOTIFICATION.DEATH.KILLED_BY_DESCRIPTION,,Killed by {{killer}},
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},{{reason}}のため死亡
NOTIFICATION.DEATH.TITLE,,Settler Death,入植者の死
NOTIFICATION.FIRE_STARTED.DESCRIPTION,,A fire has broken out in your settlement!,入植地で火災が発生しました！
NOTIFICATION.FIRE_STARTED.TITLE,,Fire!,火事だ！
NOTIFICATION.FISH_EXHAUSTED.DESCRIPTION,,You have over-fished the river to such an extent that there are no more fish left. You will have to wait until the spawning season next spring for the fish to return.,捕りすぎた結果、川に魚がいなくなってしまいました。魚が戻ってくるまでには、産卵期である来年の春まで待つ必要があります。
NOTIFICATION.FISH_EXHAUSTED.TITLE,,Fish Depopulated,漁業資源の枯渇
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,すべてが終わりました。あなたの入植地はもはや放棄されています。
NOTIFICATION.GAME_OVER.TITLE,,Game Over,ゲームオーバー
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,あなたの入植地が繁栄していると聞いて、移民が到着しました。入植地の人口が増加します。
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,新しい移民
NOTIFICATION.INVASION.DESCRIPTION,,A raiding party of orcs has arrived. Prepare yourselves! They will attack after preparing for a while.,
NOTIFICATION.INVASION.TITLE,,You are being invaded!,
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,柱や支柱がないために、洞窟の一部で落盤が発生しました。
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining Collapse,落盤
NOTIFICATION.OXIDISATION_DESTRUCTION.DESCRIPTION,,An item or piece of furniture has been destroyed due to prolonged exposure to rain.\nSome materials such as iron and steel should not be left outside for a long period.,長期に渡って雨に晒された結果、建築物が壊れてしまいました。\n鉄や鋼のようないくつかの素材は、長期間屋外に放置すべきではありません。
NOTIFICATION.OXIDISATION_DESTRUCTION.TITLE,,Rusted Away,錆の発生
NOTIFICATION.ROOFING_COLLAPSE.DESCRIPTION,,A roof has collapsed due to a lack of pillars and supports.,柱や支柱がないために、屋根が崩れてしまいました。
NOTIFICATION.ROOFING_COLLAPSE.TITLE,,Roof Collapsed,屋根の崩壊
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,次々と襲いかかる苦難が{{character}}の心を押しつぶしてしまいました。
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental Break,精神崩壊
NOTIFICATION.SETTLER_TANTRUM.DESCRIPTION,,{{character}} has become so unhappy that they are throwing a tantrum!,{{character}}はあまりにも不幸を感じたため、やけになってかんしゃくを起こしています！
NOTIFICATION.SETTLER_TANTRUM.TITLE,,Tantrum!,かんしゃく！
NOTIFICATION.TRADER_ARRIVED.DESCRIPTION,,They are heading to your Trading Depot to buy and sell goods.,
NOTIFICATION.TRADER_ARRIVED.TITLE,,Traders have arrived!,
NOTIFICATION.TRADER_ARRIVED_NO_DEPOT.DESCRIPTION,,You must construct a Trading Depot to buy and sell goods.,
NOTIFICATION.TRADER_ARRIVED_NO_DEPOT.TITLE,,Traders have arrived!,

ORE.BAUXITE.ADJECTIVE,,Bauxite,ボーキサイトの
ORE.BAUXITE.NOUN,,Bauxite,ボーキサイト
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",ボーキサイトはアルミニウムの原料です。 残念ながら、アルミニウム生産の手段はまだ発見されていません。
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,石炭の
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,石炭
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,{{FURNITURE.COKE_OVEN}}を使って {{ORE.COKE.NOUN}}に変換することができます。
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,キャシテライトの
ORE.CASSITERITE.NOUN,,Cassiterite,キャシテライト
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,製錬することで{{METAL.TIN.NOUN}}を得られる鉱石です。
ORE.CHARCOAL.ADJECTIVE,,Charcoal,木炭の
ORE.CHARCOAL.NOUN,,Charcoal,木炭
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}}は{{RESOURCE.LOGS.PLURAL}}から生産できます。
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,クリソコラの
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,クリソコラ
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.",ターコイズとよく間違われますが、実際には一種の{{METAL.COPPER}}鉱石です。
ORE.COKE.ADJECTIVE,,Coke,コークスの
ORE.COKE.NOUN,,Coke,コークス
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,{{ORE.BITUMINOUS_COAL}}の不純物を取り除き、{{FUEL.SACK}}としてより効果的にしたものです。
ORE.GALENA.ADJECTIVE,,Galena,ガレナの
ORE.GALENA.NOUN,,Galena,ガレナ
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,製錬することで{{METAL.SILVER}}を得られる鉱石です。
ORE.HEMATITE.ADJECTIVE,,Hematite,ヘマタイトの
ORE.HEMATITE.NOUN,,Hematite,ヘマタイト
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,製錬することで{{METAL.IRON}}を得られる鉱石です。
ORE.ILMENITE.ADJECTIVE,,Ilmenite,イルメナイトの
ORE.ILMENITE.NOUN,,Ilmenite,イルメナイト
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",イルメナイトはチタンの原料です。 残念ながら、チタン生産の手段はまだ発見されていません。
ORE.MALACHITE.ADJECTIVE,,Malachite,マラカイトの
ORE.MALACHITE.NOUN,,Malachite,マラカイト
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,製錬することで{{METAL.COPPER}}を得られる鉱石です。
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,天然銅の
ORE.NATIVE_COPPER.NOUN,,Native copper,天然銅
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,自然界に存在する{{METAL.COPPER}}です。金属加工に用いるには、まず製錬する必要があります。
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,天然金の
ORE.NATIVE_GOLD.NOUN,,Native gold,天然金
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,自然界に存在する{{METAL.GOLD}}です。金属加工に用いるには、まず製錬する必要があります。
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,天然白金の
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,天然白金
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,自然界に存在する{{METAL.PLATINUM}}です。金属加工に用いるには、まず製錬する必要があります。
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,天然銀の
ORE.NATIVE_SILVER.NOUN,,Native silver,天然銀
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,自然界に存在する{{METAL.SILVER}}です。金属加工に用いるには、まず製錬する必要があります。
ORE.POLLUCITE.ADJECTIVE,,Pollucite,ポルサイトの
ORE.POLLUCITE.NOUN,,Pollucite,ポルサイト
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.",ポルサイトはセシウムを含有する鉱石であり、現在の技術で扱うにはあまりにも危険です。特に命知らずなドワーフ技術者の幾人かは、この鉱石の信頼できる加工方法を研究しています。
ORE.PYRITE.ADJECTIVE,,Fool's gold,フールズゴールドの
ORE.PYRITE.NOUN,,Fool's gold,フールズゴールド
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","その澄んだ黄色のために""愚か者の金""と言われているものの、またの名は黄鉄鉱です。粉砕することでいくつかの用途に使えますが、飛び散る火花に注意する必要があります。"
ORE.THORIUM.ADJECTIVE,,Thorium,トリウムの
ORE.THORIUM.NOUN,,Thorium,トリウム
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,空気にさらされると黒くなる銀色の鉱石です。奇妙なことに、触ると暖かみを感じます。
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,ウルフラマイトの
ORE.WOLFRAMITE.NOUN,,Wolframite,ウルフラマイト
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,スズ鉱石の不純物として、精錬を妨げることから嫌われている物質です。融点がきわめて高く通常の方法では加工できません。

OTHER.ASH,,Charred,炭化した
OTHER.BRICK.NOUN,,Brick,レンガ
OTHER.CLAY_SOIL.NOUN,,Clay soil,土
OTHER.GRASS.NOUN,,,

PRIORITY.DISABLED,,Disabled,無効
PRIORITY.HIGHER,,Higher priority,優先
PRIORITY.HIGHEST,,Highest priority,最優先
PRIORITY.LOWER,,Lower priority,低度
PRIORITY.LOWEST,,Lowest priority,最低
PRIORITY.NORMAL,,Normal priority,通常

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I Accept,同意する
PRIVACY.OPT_IN.DATA_POINT.1,,• The version of the game client,
PRIVACY.OPT_IN.DATA_POINT.2,,• Your options settings,
PRIVACY.OPT_IN.DATA_POINT.3,,• The status of the game at the time of the crash,
PRIVACY.OPT_IN.DESCRIPTION,,"Mountaincore is in active development. To help diagnose and fix bugs, please click ""I Accept"" below to send anonymous crash reports automatically. \n\nThis is made up of only the following data:",
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable Reporting,レポートを無効にする

PRODUCT.ANVIL,,Anvil,金床
PRODUCT.ANVIL.PLURAL,,Anvils,
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}}.,熱した金属をハンマーで叩いて形を作る、大きな金属のかたまりです。{{FURNITURE.FORGE}}に必要です。
PRODUCT.BARREL.HOOPS,,Barrel hoops,タルの輪
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,{{PRODUCT.BARREL.NOUN}}を作るのに使われる金属製の輪です。他にもいくつかの機械が必要とします。
PRODUCT.BARREL.NOUN,,Barrel,タル
PRODUCT.BARREL.PLURAL,,Barrels,タル
PRODUCT.BARREL.STAVES,,Barrel staves,タル板
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,{{PRODUCT.BARREL.NOUN}}を作るために使われる、湾曲した木板です。
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,液体を入れることができる円筒形の容器です。側面が膨らんでいるのは、そのほうが横にした時に転がしやすいからです。
PRODUCT.BOWL,A bowl for eating from,Bowl,深皿
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},{{cooking.soup.description}}用の深皿です。
PRODUCT.BOWL.PLURAL,,Bowls,
PRODUCT.BREAD.DOUGH.NOUN,,Dough,パン生地
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,パン生地
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,{{FURNITURE.BAKING_OVEN}}で焼いて{{PRODUCT.BREAD.LOAF.PLURAL}}にできます。
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,パン一切れ
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,パン
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!",美味しく焼けたパンです。いつでも食べられます！
PRODUCT.BUCKET.NOUN,,Bucket,バケツ
PRODUCT.BUCKET.PLURAL,,Buckets,バケツ
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,手に持って液体を運ぶことができる小型の容器です。
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,大釜
PRODUCT.CAULDRON.PLURAL,,Cauldrons,
