KEY,NOTES,ENGLISH
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.

OTHER.ASH,,Charred
OTHER.BRICK.NOUN,,Brick
OTHER.CLAY_SOIL.NOUN,,Clay soil
OTHER.GRASS.NOUN,,

PRIORITY.DISABLED,,Disabled
PRIORITY.HIGHER,,Higher priority
PRIORITY.HIGHEST,,Highest priority
PRIORITY.LOWER,,Lower priority
PRIORITY.LOWEST,,Lowest priority
PRIORITY.NORMAL,,Normal priority

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I Accept
PRIVACY.OPT_IN.DATA_POINT.1,,• The version of the game client
PRIVACY.OPT_IN.DATA_POINT.2,,• Your options settings
PRIVACY.OPT_IN.DATA_POINT.3,,• The status of the game at the time of the crash
PRIVACY.OPT_IN.DESCRIPTION,,"Mountaincore is in active development. To help diagnose and fix bugs, please click ""I Accept"" below to send anonymous crash reports automatically. \n\nThis is made up of only the following data:"
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable Reporting

PRODUCT.ANVIL,,Anvil
PRODUCT.ANVIL.PLURAL,,Anvils
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}}.
PRODUCT.BARREL.HOOPS,,Barrel hoops
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.
PRODUCT.BARREL.NOUN,,Barrel
PRODUCT.BARREL.PLURAL,,Barrels
PRODUCT.BARREL.STAVES,,Barrel staves
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.
PRODUCT.BOWL,A bowl for eating from,Bowl
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}}
PRODUCT.BOWL.PLURAL,,Bowls
PRODUCT.BREAD.DOUGH.NOUN,,Dough
PRODUCT.BREAD.DOUGH.PLURAL,,Dough
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!"
PRODUCT.BUCKET.NOUN,,Bucket
PRODUCT.BUCKET.PLURAL,,Buckets
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron
PRODUCT.CAULDRON.PLURAL,,Cauldrons
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}."
PRODUCT.CHEST.NOUN,,Chest
PRODUCT.CHEST.PLURAL,,Chests
PRODUCT.CHEST.TOOLTIP,,Used to store coins for trading.
PRODUCT.LEATHER.NOUN,,Leather
PRODUCT.LEATHER.PLURAL,,Leather
PRODUCT.LINEN.NOUN,,Linen
PRODUCT.LINEN.PLURAL,,Linen
PRODUCT.LINEN.TOOLTIP,,"A roll of fabric, primarily used for bedding."
PRODUCT.LIQUID.TANK,,Tank
PRODUCT.LIQUID.TANK.PLURAL,,Tanks
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}."
PRODUCT.MILLSTONE,,Millstone
PRODUCT.MILLSTONE.PLURAL,,Millstones
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.
PRODUCT.RATION.DOUGH.NOUN,,Ration dough
PRODUCT.RATION.DOUGH.PLURAL,,Ration dough
PRODUCT.RATION.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.RATION.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.
PRODUCT.RATION.NOUN,,Ration
PRODUCT.RATION.PLURAL,,Rations
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority."
PRODUCT.ROPE.NOUN,,Rope
PRODUCT.ROPE.PLURAL,,Ropes
PRODUCT.STONE.GEAR.NOUN,,Gear
PRODUCT.STONE.GEAR.PLURAL,,Gears
PRODUCT.STONE.GEAR.TOOLTIP,,Used in the construction of mechanisms.
PRODUCT.STONE.PIPE.NOUN,,Pipe
PRODUCT.STONE.PIPE.PLURAL,,Pipes
PRODUCT.STONE.PIPE.TOOLTIP,,Used for liquids to flow between tiles underground.
PRODUCT.WATERSKIN.NOUN,,Waterskin
PRODUCT.WATERSKIN.PLURAL,,Waterskins
PRODUCT.WOODEN.SHAFT.HORIZONTAL.NOUN,,Horizontal shaft
PRODUCT.WOODEN.SHAFT.HORIZONTAL.PLURAL,,Horizontal shafts
PRODUCT.WOODEN.SHAFT.HORIZONTAL.TOOLTIP,,Used to connect mechanisms which produce and require power.
PRODUCT.WOODEN.SHAFT.VERTICAL.NOUN,,Vertical shaft
PRODUCT.WOODEN.SHAFT.VERTICAL.PLURAL,,Vertical shafts
PRODUCT.WOODEN.SHAFT.VERTICAL.TOOLTIP,,Used to connect mechanisms which produce and require power.

PROFESSION.ARTISAN.FEMALE_NOUN,,Artisan
PROFESSION.ARTISAN.MALE_NOUN,,Artisan
PROFESSION.ARTISAN.PLURAL,,Artisans
PROFESSION.ARTISAN.VERB,,Fabricating
PROFESSION.BAKER.VERB,,Baking
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith
PROFESSION.BLACKSMITH.PLURAL,,Blacksmiths
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.
PROFESSION.BLACKSMITH.VERB,,Forging
PROFESSION.BREWER.FEMALE_NOUN,,Brewer
PROFESSION.BREWER.MALE_NOUN,,Brewer
PROFESSION.BREWER.PLURAL,,Brewers
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.
PROFESSION.BREWER.VERB,,Brewing
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter
PROFESSION.CARPENTER.PLURAL,,Carpenters
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.
PROFESSION.CARPENTER.VERB,,Crafting
PROFESSION.CHEF.FEMALE_NOUN,,Chef
PROFESSION.CHEF.MALE_NOUN,,Chef
PROFESSION.CHEF.PLURAL,,Chefs
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.
PROFESSION.CHEF.VERB,,Cooking
PROFESSION.DESCRIPTION,,{{skillLevelDescription.adjective}} {{profession.noun}}
PROFESSION.FARMER.FEMALE_NOUN,,Farmer
PROFESSION.FARMER.MALE_NOUN,,Farmer
PROFESSION.FARMER.PLURAL,,Farmers
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops."
PROFESSION.FARMER.VERB,,Farming
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher
PROFESSION.FISHER.MALE_NOUN,,Fisher
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.
PROFESSION.FISHER.VERB,,Fishing
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter
PROFESSION.HUNTER.MALE_NOUN,,Hunter
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.
PROFESSION.HUNTER.VERB,,Hunting
PROFESSION.LEATHERWORKER.FEMALE_NOUN,,Leatherworker
PROFESSION.LEATHERWORKER.MALE_NOUN,,Leatherworker
PROFESSION.LEATHERWORKER.PLURAL,,Leatherworkers
PROFESSION.LEATHERWORKER.TOOLTIP,,Treats the hides of creatures to produce leather goods.
PROFESSION.LEATHERWORKER.VERB,,Leatherworking
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor
PROFESSION.MAYOR.MALE_NOUN,,Mayor
PROFESSION.MAYOR.VERB,,Governing
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant
PROFESSION.MERCHANT.MALE_NOUN,,Merchant
PROFESSION.MERCHANT.VERB,,Trading
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling
PROFESSION.MINER.FEMALE_NOUN,,Miner
PROFESSION.MINER.MALE_NOUN,,Miner
PROFESSION.MINER.PLURAL,,Miners
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.
PROFESSION.MINER.VERB,,Mining
PROFESSION.NOBLE.FEMALE_NOUN,,Noble
PROFESSION.NOBLE.MALE_NOUN,,Noble
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement."
PROFESSION.NOBLE.VERB,,Reigning
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities."
PROFESSION.RUNESMITH.VERB,,Enchanting
PROFESSION.SKILL_LEVEL.1,,Neophyte
PROFESSION.SKILL_LEVEL.1.TOOLTIP,,An absolute beginner with little to no experience.
PROFESSION.SKILL_LEVEL.2,,Novice
PROFESSION.SKILL_LEVEL.2.TOOLTIP,,They only understand the basics of their craft.
PROFESSION.SKILL_LEVEL.3,,Apprentice
PROFESSION.SKILL_LEVEL.3.TOOLTIP,,"Though they are becoming skilled, there is still a lot of experience to be earned."
PROFESSION.SKILL_LEVEL.4,,Journeyman
PROFESSION.SKILL_LEVEL.4.TOOLTIP,,"No longer an apprentice, they have reasonable skill in their given craft."
PROFESSION.SKILL_LEVEL.5,,Adept
PROFESSION.SKILL_LEVEL.5.TOOLTIP,,They are well-skilled but still have further heights that can be reached.
PROFESSION.SKILL_LEVEL.6,,Skilled
PROFESSION.SKILL_LEVEL.6.TOOLTIP,,"Very skilled in their craft, they are now more than competent."
PROFESSION.SKILL_LEVEL.7,,Expert
PROFESSION.SKILL_LEVEL.7.TOOLTIP,,There is little that the expert does not know of their respective field.
PROFESSION.SKILL_LEVEL.8,,Master
PROFESSION.SKILL_LEVEL.8.TOOLTIP,,"Beyond even an expert, they are truly a master of their craft."
PROFESSION.SKILL_LEVEL.9,,Grandmaster
PROFESSION.SKILL_LEVEL.9.TOOLTIP,,There is nobody more skilled in their craft than a grandmaster.
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason
PROFESSION.STONEMASON.PLURAL,,Stonemasons
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.
PROFESSION.STONEMASON.VERB,,Sculpting
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager
PROFESSION.VILLAGER.MALE_NOUN,,Villager
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.
PROFESSION.VILLAGER.VERB,,Working
PROFESSION.WEAVER.FEMALE_NOUN,,Weaver
PROFESSION.WEAVER.MALE_NOUN,,Weaver
PROFESSION.WEAVER.PLURAL,,Weavers
PROFESSION.WEAVER.TOOLTIP,,Processes materials into clothing and other fabrics.
PROFESSION.WEAVER.VERB,,Weaving
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter
PROFESSION.WOODCUTTER.PLURAL,,Woodcutters
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.
PROFESSION.WOODCUTTER.VERB,,Chopping

QUOTA.FIXED_AMOUNT,,in total
QUOTA.PER_SETTLER,,per settler

RACE.BOAR.NOUN,,Wild boar
RACE.CARP.NOUN,,Carp
RACE.DEER.FEMALE_NOUN,,Doe
RACE.DEER.MALE_NOUN,,Stag
RACE.DEER.TOOLTIP,,A deer is a non-threatening herbivore which will flee at any sign of danger
RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven
RACE.DWARF.FEMALE_NOUN,,Dwarf
RACE.DWARF.FEMALE_PLURAL,,Dwarves
RACE.DWARF.MALE_ADJECTIVE,,Dwarven
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.
RACE.ELEPHANT.NOUN,,Elephant
RACE.FOX.FEMALE_NOUN,,Vixen
RACE.FOX.MALE_NOUN,,Fox
RACE.FUNGOLEM,,Fungolem
RACE.HORSE.NOUN,,Horse
RACE.ORC.MALE_ADJECTIVE,,Orcish
RACE.ORC.MALE_NOUN,Orcs are only male,Orc
RACE.PERCH.NOUN,,Perch
RACE.PIKE.NOUN,,Pike
RACE.SPIDER,,Spider
RACE.UNDEAD_DWARF,,Undead dwarf
RACE.WURM,,Wurm

RESOURCE.BONE.LARGE.NOUN,,Large Bone
RESOURCE.BONE.LARGE.PLURAL,,Large Bones
RESOURCE.BONE.MEDIUM.NOUN,,Medium Bone
RESOURCE.BONE.MEDIUM.PLURAL,,Medium Bones
RESOURCE.BONE.SMALL.NOUN,,Small Bone
RESOURCE.BONE.SMALL.PLURAL,,Small Bones
RESOURCE.FLOUR.SACK.NOUN,,Flour
RESOURCE.FLOUR.SACK.PLURAL,,Flour
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.
RESOURCE.GRAIN.SACK.NOUN,,Grain (sack)
RESOURCE.GRAIN.SACK.PLURAL,,Grain (sack)
RESOURCE.HEMP.BUNDLE.NOUN,,Hemp bundle
RESOURCE.HEMP.BUNDLE.PLURAL,,Hemp bundles
RESOURCE.HEMP.FIBRE.BUNDLE.NOUN,,Hemp fibre bundle
RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL,,Hemp fibre bundles
RESOURCE.LOGS.NOUN,,Log
RESOURCE.LOGS.PLURAL,,Logs
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well."
RESOURCE.METAL.BLOOM.NOUN,,Bloom
RESOURCE.METAL.BLOOM.PLURAL,,Blooms
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.
RESOURCE.METAL.INGOT.NOUN,,Ingot
RESOURCE.METAL.INGOT.PLURAL,,Ingots
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient."
RESOURCE.METAL.PLATE.NOUN,,Plate
RESOURCE.METAL.PLATE.PLURAL,,Plates
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery."
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.
RESOURCE.MUSHROOM.LUMBER.NOUN,,Mushroom log
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Mushroom logs
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}."
RESOURCE.ORE.UNREFINED.NOUN,,Ore
RESOURCE.ORE.UNREFINED.PLURAL,,Ore
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.
RESOURCE.PLANKS.NOUN,,Plank
RESOURCE.PLANKS.PLURAL,,Planks
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.
RESOURCE.STONE.BLOCK.NOUN,,Block
RESOURCE.STONE.BLOCK.PLURAL,,Blocks
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that it can be easily used in construction or crafting.
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.
RESOURCE.WHEAT.SACK.NOUN,,Wheat (sack)
RESOURCE.WHEAT.SACK.PLURAL,,Wheat (sack)
RESOURCE.WHEAT.SACK.TOOLTIP,,Sacks of wheat are harvested from farm plots sown with wheat seeds.

ROOMS.ARMOURY,,Armoury
ROOMS.ARMOURY.TOOLTIP,,Weapons and armour are created here.
ROOMS.ARTISAN_WORKSHOP,,Artisan workshop
ROOMS.ARTISAN_WORKSHOP.TOOLTIP,,Intricate items are crafted here.
ROOMS.BAKERY,,Bakery
ROOMS.BAKERY.TOOLTIP,,Where bread dough is created and then baked into bread.
ROOMS.BARRACKS,,Barracks
ROOMS.BARRACKS.TOOLTIP,,A place for members of the military to sleep and train.
ROOMS.BEDROOM,,Bedroom
ROOMS.BEDROOM.TOOLTIP,,A place for your settlers to sleep.
ROOMS.BREWERY,,Brewery
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy!
ROOMS.BRIDGE,,Bridge
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use
ROOMS.FARM,,Farm plot
ROOMS.FARM.PLURAL,,Farm plots
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.
ROOMS.FEASTING_HALL,,Feasting hall
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!"
ROOMS.FUEL_REFINERY,,Fuel refinery
ROOMS.FUEL_REFINERY.TOOLTIP,,Produces fuel from {{RESOURCE.LOGS.PLURAL}} or {{ORE.BITUMINOUS_COAL.NOUN}}.
ROOMS.GRAVEYARD,,Graveyard
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.
ROOMS.ITERATIVE_NAMED_ROOM,,{{roomName}} #{{number}}
ROOMS.KITCHEN,,Kitchen
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.
ROOMS.LEATHER_WORKSHOP,,Leatherworks
ROOMS.LEATHER_WORKSHOP.TOOLTIP,,Craft items out of animal hide.
ROOMS.MASONRY_WORKSHOP,,Masonry workshop
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.
ROOMS.MUSHROOM_FARM,,Mushroom farm
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.
ROOMS.SAWMILL,,Sawmill
ROOMS.SAWMILL.TOOLTIP,,Wooden {{RESOURCE.LOGS.PLURAL}} are refined into {{RESOURCE.PLANKS.PLURAL}} here.
ROOMS.SMELTERY,,Smeltery
ROOMS.SMELTERY.TOOLTIP,,Metallic ore is refined into usable ingots here.
ROOMS.SMITHY,,Smithy
ROOMS.SMITHY.TOOLTIP,,Used to craft metal tools.
ROOMS.STOCKPILE,,Stockpile
ROOMS.STOCKPILE.TOOLTIP,,This area stores different kinds of items depending on settings.
ROOMS.STOCKPILES,,Stockpiles
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.
ROOMS.STOCKPILE_WITH_GROUP_NAME,,{{stockpileGroupName}} {{roomTypeName}}
ROOMS.TEXTILE_WORKSHOP,,Textile workshop
ROOMS.TEXTILE_WORKSHOP.TOOLTIP,,Processes {{SEED.HEMP_SEED}} into textiles for a variety of uses.
ROOMS.TRADING_DEPOT,,Trading depot
ROOMS.TRADING_DEPOT.TOOLTIP,,Buy and sell items with visiting merchants.

ROPE.AGED_ROPE,,Aged
ROPE.BRONZED_ROPE,,Bronzed
ROPE.GRAY_ROPE,,Gray
ROPE.HEMP-ROPE,,Hemp
ROPE.TOBACCO_ROPE,Just to describe a light colour,Light

RUSTED_SCRAP.NOUN,,Scrap
RUSTED_SCRAP.TOOLTIP,,These are the remains of an item that has completed corroded due to rust.

SEASON.AUTUMN,,Autumn
SEASON.SPRING,,Spring
SEASON.SUMMER,,Summer
SEASON.WINTER,,Winter

SEED.BARLEY_SEED,,Barley
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}."
SEED.BERSERKER_MUSHROOM_SPAWN,,Berserker
SEED.BERSERKER_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.
SEED.CARROT_SEED,,Carrot
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}."
SEED.CORN_SEED,,Corn
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}."
SEED.DEATH_CAP_SPAWN,,Death cap
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death."
SEED.ELFSBANE_SPAWN,,Elfsbane
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack."
SEED.FIST_SPAWN,,Fist
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.
SEED.GLOW_SPAWN,,Glow
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.
SEED.HEMP_SEED,,Hemp
SEED.HEMP_SEED.TOOLTIP,,Used to produce rope and fabric after it hsa been processed.
SEED.HOPS_SEED,,Hops
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.
SEED.MILTONIA_SPAWN,,Miltonia
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world."
SEED.POTATO_SEED,,Potato
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}."
SEED.PURPLE_HELMET_SPAWN,,Purple helmet
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus."
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.
SEED.SUNGLOW_SPAWN,,Sunglow
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.
SEED.SYRUP_POWDER_SPAWN,,Syrup powder
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows."
SEED.TOMATO_SEED,,Tomato
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.
SEED.WHEAT_SEED,,Wheat
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}."

SHRUB.DESCRIPTION,Shrub or bush should do,Bush

SKILL.ARCHERY.FEMALE_NOUN,,Archer
SKILL.ARCHERY.MALE_NOUN,,Archer
SKILL.ARCHERY.TOOLTIP,,Skill with the bow
SKILL.AXES.FEMALE_NOUN,,Axewoman
SKILL.AXES.MALE_NOUN,,Axeman
SKILL.AXES.TOOLTIP,,Skill with axes
SKILL.CROSSBOWS.FEMALE_NOUN,,Arbalist
SKILL.CROSSBOWS.MALE_NOUN,,Arbalist
SKILL.CROSSBOWS.TOOLTIP,,Skill with the crossbow
SKILL.MACES.FEMALE_NOUN,,Hammerer
SKILL.MACES.MALE_NOUN,,Hammerer
SKILL.MACES.TOOLTIP,,Skill with hammers and maces
SKILL.SWORDSMANSHIP.FEMALE_NOUN,,Swordswoman
